marketing_year,destination,exports_mil_bu,share_of_total_exports
1992,Japan,556.653631,0.334673
1992,Taiwan,209.975104,0.126242
1992,Former Soviet Union-12,163.044636,0.098026
1992,Sub-Saharan Africa,155.690180,0.093605
1992,European Union-27,108.526522,0.065249
1992,Egypt,54.981753,0.033056
1992,Canada,49.460289,0.029737
1992,Algeria,41.263484,0.024809
1992,South Korea,39.044399,0.023474
1992,Saudi Arabia,29.589208,0.017790
1992,Venezuela,28.304214,0.017017
1992,Dominican Republic,24.632368,0.014810
1992,Mexico,20.509909,0.012331
1992,Israel,20.112416,0.012092
1992,Unidentified Country,19.167677,0.011524
1992,Iran,17.471143,0.010504
1992,Colombia,14.814895,0.008907
1992,Costa Rica,12.595980,0.007573
1992,Tunisia,11.450955,0.006885
1992,Jordan,11.040502,0.006638
1992,Chile,10.580957,0.006362
1992,Morocco,9.169409,0.005513
1992,Jamaica,7.030050,0.004227
1992,Lebanon,6.813969,0.004097
1992,Guatemala,5.983977,0.003598
1992,El Salvador,4.447069,0.002674
1992,Yemen (Sana),3.732068,0.002244
1992,Trinidad And Tobago,3.505452,0.002108
1992,Panama,3.077524,0.001850
1992,Turkey,3.070753,0.001846
1992,Brazil,2.779947,0.001671
1992,Syria,2.750461,0.001654
1992,Peru,2.506456,0.001507
1992,United Arab Emirates,1.409067,0.000847
1992,Barbados,1.230040,0.000740
1992,Ecuador,0.963494,0.000579
1992,Suriname,0.877833,0.000528
1992,New Zealand (No Islands),0.848212,0.000510
1992,Honduras,0.821768,0.000494
1992,Oman,0.780495,0.000469
1992,Dominica,0.524503,0.000315
1992,Bahrain,0.454664,0.000273
1992,Netherlands Antilles,0.322111,0.000194
1992,Indonesia,0.252665,0.000152
1992,Hong Kong,0.151835,0.000091
1992,St. Vincent And The Grenadine,0.146529,0.000088
1992,French Polynesia,0.132907,0.000080
1992,Nicaragua,0.093559,0.000056
1992,Grenada,0.087519,0.000053
1992,Paraguay,0.086925,0.000052
1992,Other Europe,0.061533,0.000037
1992,Argentina,0.047525,0.000029
1992,United Kingdom,0.031975,0.000019
1992,Singapore,0.027247,0.000016
1992,Aruba,0.026810,0.000016
1992,Kuwait,0.022519,0.000014
1992,India,0.020117,0.000012
1992,Bahamas,0.017842,0.000011
1992,Australia,0.012401,0.000007
1992,Bermuda,0.012283,0.000007
1992,Pakistan,0.010291,0.000006
1992,Uruguay,0.009874,0.000006
1992,Belize,0.008082,0.000005
1992,New Caledonia,0.003661,0.000002
1992,Haiti,0.001787,0.000001
1992,Cayman Islands,0.000984,0.000001
1992,Thailand,0.000236,0.000000
1993,Japan,480.856853,0.362004
1993,Taiwan,199.863231,0.150463
1993,Former Soviet Union-12,100.839299,0.075915
1993,European Union-27,79.201191,0.059625
1993,Egypt,61.148647,0.046035
1993,Mexico,58.247406,0.043850
1993,Algeria,42.228320,0.031791
1993,Saudi Arabia,36.064186,0.027150
1993,Venezuela,31.862629,0.023987
1993,Dominican Republic,24.624073,0.018538
1993,Colombia,24.041463,0.018099
1993,Canada,22.334787,0.016814
1993,South Korea,20.032451,0.015081
1993,Unidentified Country,19.848905,0.014943
1993,Sub-Saharan Africa,15.998032,0.012044
1993,Costa Rica,13.927019,0.010485
1993,Israel,11.895973,0.008956
1993,Jordan,9.673677,0.007283
1993,Chile,9.596405,0.007224
1993,Morocco,8.702463,0.006551
1993,Peru,6.851999,0.005158
1993,Guatemala,6.428035,0.004839
1993,Jamaica,5.963525,0.004490
1993,Panama,5.169626,0.003892
1993,Iran,4.591200,0.003456
1993,Tunisia,4.453837,0.003353
1993,El Salvador,4.094610,0.003083
1993,Trinidad And Tobago,3.590929,0.002703
1993,Syria,3.187172,0.002399
1993,Yemen (Sana),2.727115,0.002053
1993,Lebanon,2.241902,0.001688
1993,Brazil,1.264783,0.000952
1993,Barbados,1.254114,0.000944
1993,United Arab Emirates,1.033928,0.000778
1993,Honduras,0.962199,0.000724
1993,New Zealand (No Islands),0.509692,0.000384
1993,Nicaragua,0.439389,0.000331
1993,Netherlands Antilles,0.290183,0.000218
1993,Suriname,0.260618,0.000196
1993,Qatar,0.259830,0.000196
1993,St. Vincent And The Grenadine,0.227037,0.000171
1993,Australia,0.217942,0.000164
1993,Bahrain,0.206683,0.000156
1993,Hong Kong,0.172327,0.000130
1993,United Kingdom,0.146174,0.000110
1993,French Polynesia,0.122041,0.000092
1993,Belize,0.096436,0.000073
1993,Grenada,0.090350,0.000068
1993,Turkey,0.056698,0.000043
1993,Philippines,0.055119,0.000041
1993,Malaysia,0.049407,0.000037
1993,Argentina,0.047451,0.000036
